_id,question,answer,incorrect1,incorrect2,incorrect3
1,nayana {-aṃ},eye,grass,"virtue, precept",door
2,locana {-aṃ},eye,milk,"alms, charity",cloth
3,udaka {-aṃ},water,"city, town",object,fruit
4,jala {-aṃ},water,park,door,"virtue, precept"
5,arañña {-aṃ},forest,field,cloth,"alms, charity"
6,vana {-aṃ},forest,goods,fruit,object
7,puppha {-aṃ},flower,"virtue, precept",grass,park
8,kusuma {-aṃ},flower,"alms, charity",milk,field
9,geha {-aṃ},house,object,"city, town",goods
10,ghara {-aṃ},house,door,park,grass
11,āsana {-aṃ},seat,cloth,field,milk
12,paṇṇa {-aṃ},leaf,fruit,goods,"city, town"
13,tiṇa {-aṃ},grass,eye,flower,house
14,khīra {-aṃ},milk,eye,flower,seat
15,nagara {-aṃ},"city, town",water,house,leaf
16,uyyāna {-aṃ},park,water,house,flower
17,khetta {-aṃ},field,forest,seat,flower
18,bhaṇḍa {-aṃ},goods,forest,leaf,house
19,sīla {-aṃ},"virtue, precept",flower,eye,water
20,dāna {-aṃ},"alms, charity",flower,eye,forest
21,rūpa {-aṃ},object,house,water,forest
22,dvāra {-aṃ},door,house,water,eye
23,vattha {-aṃ},cloth,seat,forest,eye
24,phala {-aṃ},fruit,leaf,forest,water
25,vivarati,she opens,she collects,it breaks,he advises
26,naccati,he dances,it sprinkles,she drinks,it breaks
27,nikkhipati,it puts,he scolds,it drinks,she drinks
28,uṭṭhahati,she gets up,it breaks,she collects,he scolds
29,phusati,it touches,she drinks,it sprinkles,she collects
30,anusāsati,he instructs,it drinks,he scolds,it sprinkles
31,ovadati,he advises,she opens,it touches,it drinks
32,saṃharati,she collects,he dances,he instructs,it touches
33,āsiñcati,it sprinkles,it puts,he advises,he instructs
34,akkosati,he scolds,she gets up,she opens,it puts
35,bhindati,it breaks,it touches,he dances,she gets up
36,pibati,she drinks,he instructs,it puts,she opens
37,pivati,it drinks,he advises,she gets up,he dances
38,nara,O man (voc-s),O man (voc-p),O wise man (voc-s),O wise man (voc-p)
39,brāhmaṇa,O brahmin (voc-s),O brahmin (voc-p),O lay devotee (voc-s),O lay devotee (voc-p)
40,putta,O son (voc-s),O son (voc-p),O hermit (voc-s),O hermit (voc-p)
41,bhūpāla,O king (voc-s),O king (voc-p),O teacher (voc-s),O teacher (voc-p)
42,sahāya,O friend (voc-s),O friend (voc-p),O doctor (voc-s),O doctor (voc-p)
43,sāvaka,O disciple (voc-s),O disciple (voc-p),O god (voc-s),O god (voc-p)
44,samaṇa,O monk (voc-s),O monk (voc-p),O man (voc-s),O man (voc-p)
45,paṇḍita,O wise man (voc-s),O wise man (voc-p),O brahmin (voc-s),O brahmin (voc-p)
46,upāsaka,O lay devotee (voc-s),O lay devotee (voc-p),O son (voc-s),O son (voc-p)
47,tāpasa,O hermit (voc-s),O hermit (voc-p),O king (voc-s),O king (voc-p)
48,ācariya,O teacher (voc-s),O teacher (voc-p),O friend (voc-s),O friend (voc-p)
49,vejja,O doctor (voc-s),O doctor (voc-p),O disciple (voc-s),O disciple (voc-p)
50,deva,O god (voc-s),O god (voc-p),O monk (voc-s),O monk (voc-p)
51,narā,O man (voc-p),O man (voc-s),O wise man (voc-p),O wise man (voc-s)
52,brāhmaṇā,O brahmin (voc-p),O brahmin (voc-s),O lay devotee (voc-p),O lay devotee (voc-s)
53,puttā,O son (voc-p),O son (voc-s),O hermit (voc-p),O hermit (voc-s)
54,bhūpālā,O king (voc-p),O king (voc-s),O teacher (voc-p),O teacher (voc-s)
55,sahāyā,O friend (voc-p),O friend (voc-s),O doctor (voc-p),O doctor (voc-s)
56,sāvakā,O disciple (voc-p),O disciple (voc-s),O god (voc-p),O god (voc-s)
57,samaṇā,O monk (voc-p),O monk (voc-s),O man (voc-p),O man (voc-s)
58,paṇḍitā,O wise man (voc-p),O wise man (voc-s),O brahmin (voc-p),O brahmin (voc-s)
59,upāsakā,O lay devotee (voc-p),O lay devotee (voc-s),O son (voc-p),O son (voc-s)
60,tāpasā,O hermit (voc-p),O hermit (voc-s),O king (voc-p),O king (voc-s)
61,ācariyā,O teacher (voc-p),O teacher (voc-s),O friend (voc-p),O friend (voc-s)
62,vejjā,O doctor (voc-p),O doctor (voc-s),O disciple (voc-p),O disciple (voc-s)
63,devā,O god (voc-p),O god (voc-s),O monk (voc-p),O monk (voc-s)
64,nayanaṃ,eye (nom-s),grass (acc-s),"virtue, precept (acc-s)",flower (nom-s)
65,locanaṃ,eye (nom-s),milk (acc-s),"alms, charity (acc-s)",flower (nom-s)
66,udakaṃ,water (nom-s),"city, town (acc-s)",object (acc-s),house (nom-s)
67,jalaṃ,water (nom-s),park (acc-s),door (acc-s),house (nom-s)
68,araññaṃ,forest (nom-s),field (acc-s),cloth (acc-s),seat (nom-s)
69,vanaṃ,forest (nom-s),goods (acc-s),fruit (acc-s),leaf (nom-s)
70,pupphaṃ,flower (nom-s),"virtue, precept (acc-s)",grass (acc-s),eye (nom-s)
71,kusumaṃ,flower (nom-s),"alms, charity (acc-s)",milk (acc-s),eye (nom-s)
72,gehaṃ,house (nom-s),object (acc-s),"city, town (acc-s)",water (nom-s)
73,gharaṃ,house (nom-s),door (acc-s),park (acc-s),water (nom-s)
74,āsanaṃ,seat (nom-s),cloth (acc-s),field (acc-s),forest (nom-s)
75,paṇṇaṃ,leaf (nom-s),fruit (acc-s),goods (acc-s),forest (nom-s)
76,tiṇaṃ,grass (acc-s),eye (nom-s),flower (nom-s),"virtue, precept (acc-s)"
77,khīraṃ,milk (acc-s),eye (nom-s),flower (nom-s),"alms, charity (acc-s)"
78,nagaraṃ,"city, town (acc-s)",water (nom-s),house (nom-s),object (acc-s)
79,uyyānaṃ,park (acc-s),water (nom-s),house (nom-s),door (acc-s)
80,khettaṃ,field (acc-s),forest (nom-s),seat (nom-s),cloth (acc-s)
81,bhaṇḍaṃ,goods (acc-s),forest (nom-s),leaf (nom-s),fruit (acc-s)
82,sīlaṃ,"virtue, precept (acc-s)",flower (nom-s),eye (nom-s),grass (acc-s)
