_id,question,answer,incorrect1,incorrect2,incorrect3
1,Dārakā kukkurehi saddhiṃ kīḷituṃ uyyānaṃ gacchanti.,Children go to the park to play with their dogs.,Friends go to the park to play with their dogs.,Children go to the palace to play with their dogs.,Friends go to the palace to play with their dogs.
2,Kassakā puttehi saha nagare gehesu vasituṃ icchanti.,Farmers wish to live in houses in the city with their sons.,Men wish to live in houses in the city with their sons.,Farmers wish to live in palaces in the city with their sons.,Men wish to live in palaces in the city with their sons.
3,Mittā udakaṃ oruyha nahāyituṃ icchanti.,Friends wish to get down to the water and bathe.,Children wish to get down to the water and bathe.,Uncles wish to get down to the water and bathe.,Lay devotees wish to get down to the water and bathe.
4,Ajā araññaṃ pavisituṃ gāmasmā dhāvanti.,Goats run from the village to enter the forest.,Pigs run from the village to enter the forest.,Goats run from the village to enter the park.,Pigs run from the village to enter the park.
5,Sāṭakaṃ labhitvā ācariyasmā dārako pāsidati.,Having received a garment from the teacher the child is pleased.,Having received a garment from the teacher the doctor is pleased.,Having received a garment from the teacher the uncle is pleased.,Having received a garment from the uncle the doctor is pleased.
6,Āsanasmā uṭṭhāya upāsako samaṇena saha bhāsituṃ icchati.,Having risen from the seat the lay devotee wishes to speak with the monk.,Having risen from the seat the good man wishes to speak with the monk.,Having risen from the seat the minister wishes to speak with the monk.,Having risen from the seat the good man wishes to speak with the minister.
7,Pāsāṇamhi ṭhatvā vejjo rukkhesu pupphāni passati.,"Having stood on the rock, the doctor sees flowers on the trees.","Having stood on the rock, the child sees flowers on the trees.","Having stood on the rock, the doctor sees flowers on the mountains.","Having stood on the rock, the child sees flowers on the mountains."
8,hanati,he kills,she collects,she descends,"he becomes glad, is pleased with"
9,jīvati,he lives,to cross (water),"he hits, strikes",to drink
10,kasati,he ploughs,to stand,to hit,she enters
11,rakkhati,he protects,she goes,she brings,he speaks
12,akkosati,he scolds,to cook,to collect,to live
13,vijjhati,he shoots,he dances,to cut,he scolds
14,sayati,he sleeps,she laughs,he scolds,he walks
15,bhāsati,he speaks,to call,she stands,to touch
16,carati,he walks,to drink,"to pay respect, worship",he cries
17,dhovati,he washes,it drinks,she begs,to stand
18,vandati,"he worships, salutes",to dig,it breaks,she brings
19,ākaḍḍhati,it drags,he advises,he cries,"to pay respect, worship"
20,pivati,it drinks,he washes,she takes,it sprinkles
21,viharati,it dwells,to get,she cuts,to pull
22,uppatati,"it flies, jumps up",she eats,to sprinkle,to give
23,kīḷati,it plays,"to pay respect, worship",she sees,she descends
24,nikkhipati,it puts,she takes,she runs,to plough
25,āsiñcati,it sprinkles,to abandon,to cross (water),she opens
26,phusati,it touches,he bites,it bathes,"she wishes, desires"
